1007	3011388	16
1007	351737	9
1007	3873134	2
1007	4727333	2
100	7668174	3
1007	7826708	9
1007	8481033	31
1007	92053	6
1008	1423924	2
1008	1476994	20
100	8223371	2
1008	332841	2
1008	351737	15
1008	3936334	10
1008	4540583	8
1008	4694792	11
1008	4727333	2
100	8729451	9
100	88016	2
1008	992101	2
1009	133850	4
1009	1476994	2
1009	210108	2
1009	351737	9
1009	4469495	2
1009	4518957	2
1009	489157	4
1009	6342031	4
1009	9648314	2
1009	9666981	2
10	10119892	3
1010	1497209	5
1010	19563	2
10	1022055	3
10	10226453	2
10	10307012	2
1010	339034	15
1010	52585	5
1010	541218	2
1010	583054	14
1010	5884582	2
1010	8605491	2
1010	8995667	3
10	1099150	3
101	1029913	2
1011	158443	2
101	1266754	140
1011	4280259	10
101	1439972	3
101	1440830	4
101	1535378	2
1011	568400	9
101	169140	3
101	1715251	2
1011	911938	5
1011	93143	2
101	1957001	2
1011	9676659	3
10	1197008	6
101	1998211	4
101	203728	22
1012	10197052	6
1012	10543686	4
1012	1158101	3
1012	1236449	281
1012	128897	3
1012	1389528	2
1012	1635280	39
1012	1722919	7
1012	2078959	5
1012	2730558	10
101	2304959	2
1012	306595	2
1012	309345	13
1012	3172211	2
1012	322970	3
1012	3483166	3
1012	35331	5
1012	353639	2
1012	4469495	4
1012	546423	3
1012	5708110	3
1012	59944	2
1012	64669	4
101	2654809	2
101	26801	2
1012	6895866	9
101	271168	4
101	274473	2
1012	7617805	2
1012	7627571	11
101	28065	3
1012	808022	2
101	2808799	6
101	2825862	10
1012	8601432	3
1012	878749	36
101	305481	3
101	307408	2
1013	105537	7
10	1310918	2
1013	1108424	13
1013	111359	3
1013	136813	6
101	314605	2
1013	1478872	3
1013	1636543	2
101	3220627	39
101	3271817	2
101	330204	5
1013	3089075	2
101	332841	2
101	3365085	2
1013	3925191	4
101	3417593	2
1013	489157	3
1013	4906524	2
1013	536375	9
1013	5382478	3
101	3559275	4
1013	584	4
101	359256	2
10	136745	35
1013	6866572	3
1013	6895865	2
1013	6897664	9
1013	6900129	4
1013	7178666	2
101	3784107	2
10	1387010	2
1013	93143	2
101	3981679	2
1013	98785	6
10	1400142	164
1014	123079	4
101	4128319	6
1014	2172498	12
1014	2537255	10
101	42558	2
101	4258360	3
1014	265432	2
