1050	2636247	3
1050	36352	7
1050	383281	2
1050	5134923	3
1050	5389659	2
1050	822615	4
1050	97232	3
1051	123079	13
1051	1381068	11
1051	1930796	2
1051	1957748	4
1051	322606	2
1051	4870649	2
1051	5798	12
10	5160420	5
1051	626138	11
10	521374	3
1052	1635280	3
1052	3504575	5
1052	474828	4
1053	1381068	3
1053	862511	5
1054	3349439	4
1054	732608	3
1055	1176750	21
1055	1324750	6
1055	1381068	10
10	5583139	156
1056	1007941	2
1056	1432370	5
1056	1572971	3
10	5655862	7
10	56593	2
1056	59944	2
1057	110333	7
1057	123079	4
1057	1381068	14
1057	2962903	3
1057	5798	5
1057	626138	11
1057	697736	2
1057	9993	2
1059	229161	6
10	5928135	5
10	5964433	20
1059	7872	3
1060	140946	4
1060	2404663	4
1061	157842	2
1063	4497767	3
1063	903118	6
1064	101696	2
1064	1099776	8
1064	116219	3
1064	1207558	115
1064	1304678	3
1064	1381279	9
1064	141662	4
1064	1430512	10
1064	1432370	7
1064	1446018	3
1064	1487965	18
1064	1538132	22
1064	1572971	2
1064	1616948	3
1064	1620449	2
1064	1635280	4
1064	1727562	5
1064	1788689	3
1064	1810742	2
1064	2	2
1064	2010902	16
1064	212327	3
1064	2283220	13
1064	233102	21
1064	251183	4
1064	267139	2
1064	273865	6
1064	2796033	3
1064	3127387	4
1064	3144159	3
1064	319203	5
1064	3483605	2
1064	3502527	4
1064	3546089	8
1064	3979909	2
1064	41723	12
1064	423633	7
1064	461764	4
1064	4967254	2
1064	521374	2
1064	5293165	5
1064	550273	27
1064	553497	4
1064	555135	3
1064	5595285	5
1064	5620165	2
1064	5736556	2
1064	5738546	3
1064	6036800	14
1064	6161736	4
1064	6288010	3
1064	6417583	2
1064	649025	2
1064	692238	21
1064	7036178	3
1064	7068064	4
1064	7715904	4
1064	7793172	2
1064	7897452	8
1064	8167424	5
1064	84417	2
1064	84942	2
1064	850060	13
1064	85186	194
1064	8788627	5
1064	8976688	2
1064	9025881	2
1064	9275670	24
1064	9481811	2
1064	9722620	2
1064	97232	27
1065	267139	2
1065	4280259	2
1066	114927	2
1066	1381068	2
1066	8127157	2
10	6690794	2
1067	140946	65
1067	1745806	5
1067	2035455	26
1067	2404663	6
10	6724595	188
1067	2796815	12
10	6733398	6
1067	4280259	6
1067	4667135	23
1067	5376072	57
1067	568400	10
1067	5758262	6
10	6766140	2
1067	8127157	7
1067	911938	3
1068	140946	5
1068	158443	2
10	6833125	5
1068	4280259	5
1068	611413	3
10	6882730	4
1069	10168524	2
1069	10263693	2
1069	1273395	2
1069	1353714	20
1069	140946	35
1069	158443	13
1069	1593890	2
1069	1613900	8
1069	1799532	2
1069	2119427	4
1069	224338	2
1069	2404663	33
1069	2438772	2
1069	271376	4
1069	2796815	2
1069	2942018	2
1069	331667	5
1069	4280259	4
1069	434818	3
1069	4349401	2
1069	4449450	2
1069	5074719	3
1069	5522631	10
1069	568400	30
1069	611413	2
1069	6262257	6
1069	7377492	2
1069	7724329	2
1069	8150018	2
1069	8456077	3
1069	86076	10
1069	9164517	3
1069	9433484	2
